month,temperature
2004-01,297.37322230661084
2004-02,298.2742090620016
2004-03,300.425275356573
2004-04,303.38535341855675
2004-05,302.2758741186317
2004-06,303.5475920652831
2004-07,302.5268399763509
2004-08,304.0148370753084
2004-09,301.08829199723675
2004-10,299.6723172537984
2004-11,298.63894205054186
2004-12,297.8314838764634
2005-01,298.01792594024727
2005-02,298.54476629348255
2005-03,300.99125016521276
2005-04,301.8154431925977
2005-05,304.4034820875583
2005-06,305.01486387484783
2005-07,302.9860980583859
2005-08,302.9143030441652
2005-09,301.93328846310135
2005-10,299.8890058137285
2005-11,298.0737455944835
2005-12,297.51186249700254
2006-01,297.0577690918609
2006-02,297.7028429971359
2006-03,300.6961197336785
2006-04,302.66638727657846
2006-05,303.89687562203216
2006-06,303.3618843484604
2006-07,303.92648165167077
2006-08,303.0069861913676
2006-09,301.79076157725325
2006-10,300.2953326972147
2006-11,298.3132380160575
2006-12,297.8920793003433
2007-01,297.49883877521575
2007-02,298.38145617431593
2007-03,300.14992763670006
2007-04,302.3786988981473
2007-05,305.16791009586734
2007-06,302.46066245816803
2007-07,302.0857376767462
2007-08,301.138627512668
2007-09,301.2484311660372
2007-10,300.0122811611157
2007-11,298.33887260212873
2007-12,297.49415060767046
2008-01,296.9625735557296
2008-02,298.6069563125014
2008-03,299.4887599733883
2008-04,302.0869903725873
2008-05,305.18768532674756
2008-06,303.99073890291226
2008-07,303.1236471375281
2008-08,301.42810235242115
2008-09,301.79079583886903
2008-10,300.0764647258045
2008-11,298.9160307974758
2008-12,297.6774874778192
2009-01,297.32033631725074
2009-02,298.2945872597947
2009-03,299.6174718320676
2009-04,302.70783782247247
2009-05,304.4352323464732
2009-06,304.6325853688739
2009-07,304.27004188114677
2009-08,303.0341672575275
2009-09,302.29962537761776
2009-10,301.7234231493932
2009-11,299.07307825398874
2009-12,297.86004989253536
2010-01,297.74202754529136
2010-02,298.40249176528545
2010-03,301.00102675907493
2010-04,303.78342247184065
2010-05,304.4135095398224
2010-06,303.3935884681209
2010-07,301.6748362900345
2010-08,301.5866281713408
2010-09,301.08182480924336
2010-10,300.959479587302
2010-11,299.10042952945
2010-12,297.55011745597324
2011-01,297.4363915894964
2011-02,297.97117250598876
2011-03,299.92662126094183
2011-04,301.9333572721844
2011-05,304.4767981786769
2011-06,304.39619023052074
2011-07,302.9305750068045
2011-08,302.0000573642716
2011-09,302.30158171746604
2011-10,300.74162341124037
2011-11,298.5348066054283
2011-12,297.89475803670877
2012-01,296.80416598549755
2012-02,297.94150263413115
2012-03,300.99596735729926
2012-04,302.7636637123678
2012-05,305.790008739516
2012-06,305.11598468994123
2012-07,303.55718089414586
2012-08,302.6553410848405
2012-09,302.3869315103639
2012-10,300.46615507164324
2012-11,299.00339099811293
2012-12,298.10627147527777
2013-01,297.60942575512206
2013-02,298.55445889828474
2013-03,300.39170633406826
2013-04,303.12218236765784
2013-05,305.13185848919215
2013-06,304.0578722058341
2013-07,302.3684265630953
2013-08,301.7828637560423
2013-09,301.14137101766835
2013-10,300.7791929165956
2013-11,298.72506597569173
2013-12,297.395299262632
2014-01,297.80040857663596
2014-02,298.029422738694
2014-03,300.10761055477184
2014-04,302.6871508302799
2014-05,303.98489360195794
2014-06,305.50188970917293
2014-07,304.0369109474363
2014-08,302.2236753091857
2014-09,301.6907288978206
2014-10,300.5129295592942
2014-11,298.8679803220195
2014-12,297.95065429772717
2015-01,297.32790117704013
2015-02,298.0771469205549
2015-03,300.5845548944462
2015-04,302.33132774288
2015-05,303.8540058892672
2015-06,303.80465312617446
2015-07,304.15944806484885
2015-08,302.6574112454675
2015-09,302.3559529476141
2015-10,300.86843972810044
2015-11,298.81685322061816
2015-12,298.3119176157824
2016-01,297.8058564247356
2016-02,299.26987848986295
2016-03,301.37952719270356
2016-04,303.68625186706566
2016-05,303.8070998929024
2016-06,302.35135318723206
2016-07,301.93095964890335
2016-08,302.88280969468997
2016-09,302.1846353585376
2016-10,301.5184673465987
2016-11,299.39795554926854
2016-12,297.7995526827014
2017-01,297.96252762860985
2017-02,298.0535921931642
2017-03,301.0247448032477
2017-04,303.5346210846915
2017-05,305.1539587597356
2017-06,303.90004467561596
2017-07,303.9148731407553
2017-08,301.9856460954632
2017-09,301.32038013141323
2017-10,300.6266960355303
2017-11,299.01666601533304
2017-12,298.01117384567993
2018-01,297.1908593617548
2018-02,298.07668210385447
2018-03,300.3382977795265
2018-04,302.84065133075444
2018-05,304.03421235606123
2018-06,303.9326670125845
2018-07,303.7435915467061
2018-08,302.7559071613609
2018-09,301.8702248645981
2018-10,300.46407643828496
2018-11,299.0526718152372
2018-12,297.99110579093445
2019-01,296.86947574252434
2019-02,299.24196979941644
2019-03,301.0955567518966
2019-04,302.99327744733984
2019-05,304.7424100201392
2019-06,305.22144786968886
2019-07,303.0075721594958
2019-08,302.00539282287576
2019-09,301.2252816154825
2019-10,300.2056355225115
2019-11,299.52640219939605
2019-12,298.3614281547316
2020-01,297.8473476864446
2020-02,298.89747889561085
2020-03,300.5584987265844
2020-04,302.5538157499509
2020-05,304.4051054221828
2020-06,304.0844813592398
2020-07,301.85297553192913
2020-08,301.851599619116
2020-09,301.0553409679874
2020-10,301.0493632320277
2020-11,299.1728989529486
2020-12,297.9927027703756
2021-01,298.06376269193316
2021-02,297.5516877835607
2021-03,300.0733857639497
2021-04,302.58127712570797
2021-05,303.76258201289187
2021-06,303.75699298719326
2021-07,302.140290926476
2021-08,302.3943581271894
2021-09,301.84545732921896
2021-10,300.7778535891389
2021-11,298.7319676193793
2021-12,298.07332658778586
2022-01,298.2891300793457
2022-02,298.63540424447274
2022-03,300.9589411532937
2022-04,302.8870842301406
2022-05,303.5189903508546
2022-06,303.5147452866129
2022-07,301.98502778812616
2022-08,301.805860656033
2022-09,301.85581883722926
2022-10,300.01697229767086
2022-11,298.3248888052375
2022-12,298.29343118015083
2023-01,297.4620908789556
2023-02,298.1066837958389
2023-03,300.35576117263764
2023-04,302.47923316767935
2023-05,303.54217831201396
2023-06,304.62069044532774
2023-07,302.7052665150945
2023-08,303.4482674281387
2023-09,302.2580520604179
2023-10,301.45061571939135
2023-11,299.36523139555976
2023-12,298.6886796852107
