month,NO2_density
2018-07,7.980996451806276e-05
2018-07,8.38867403710003e-05
2018-07,9.20316147153244e-05
2018-07,8.85714802050635e-05
2018-07,8.192464029517681e-05
2018-07,7.871222282833821e-05
2018-07,8.864727709433575e-05
2018-07,0.00010101077158738559
2018-07,7.74026089679974e-05
2018-07,6.318951925791216e-05
2018-07,7.972335726031043e-05
2018-07,9.398870326192443e-05
2018-07,9.294822412700398e-05
2018-07,9.638330630058276e-05
2018-07,6.707322278156808e-05
2018-07,8.233483649415757e-05
2018-07,8.455364727103281e-05
2018-07,0.00010341347342663171
2018-07,0.00010363647257050157
2018-07,7.582398471920964e-05
2018-07,8.356927221596681e-05
2018-07,9.282012157412549e-05
2018-07,7.348341014916057e-05
2018-07,7.807284608908612e-05
2018-07,5.6222199573227164e-05
2018-07,7.01803861204923e-05
2018-07,9.755798737580104e-05
2018-07,4.989701033045121e-05
2018-08,7.421420027338933e-05
2018-08,0.0001273090777653507
2018-08,8.884686890262072e-05
2018-08,0.0001041654536500742
2018-08,0.00010504641696587803
2018-08,9.014851050961924e-05
2018-08,8.612853505945493e-05
2018-08,7.189158876167493e-05
2018-08,9.211826844056894e-05
2018-08,9.241266803969246e-05
2018-08,8.021368950937615e-05
2018-08,8.444114364446205e-05
2018-08,0.00013070796341848486
2018-08,0.00010399395559983421
2018-08,4.899194130995717e-05
2018-08,5.25105804278587e-05
2018-08,5.4961367869500884e-05
2018-08,8.907310918217492e-05
2018-08,6.788344787666083e-05
2018-08,0.00010145368712866761
2018-08,9.924380572943892e-05
2018-08,9.453161448623754e-05
2018-08,0.00011480195941509133
2018-08,0.00012329809318514752
2018-08,0.00012511449503249035
2018-08,0.00010715105132606141
2018-08,8.892873433093654e-05
2018-08,0.00010672270380752155
2018-08,8.096090051873517e-05
2018-08,8.859478671121989e-05
2018-08,0.00010766790067022133
2018-08,9.526256758535424e-05
2018-08,8.385797982833967e-05
2018-08,0.0001113335820172382
2018-08,0.0001489625390747685
2018-08,0.00010198719368244709
2018-08,0.00012913103257829303
2018-08,0.00011539822793485518
2018-08,8.166580718510714e-05
2018-08,3.128326668480579e-05
2018-09,0.00010163852637880014
2018-09,8.682392137269538e-05
2018-09,9.913227520559087e-05
2018-09,7.71651845367178e-05
2018-09,8.520911883850935e-05
2018-09,9.720185644249564e-05
2018-09,9.860170267008091e-05
2018-09,7.060544326285922e-05
2018-09,6.29064789418533e-05
2018-09,7.532553316148939e-05
2018-09,8.108421397757477e-05
2018-09,7.299718036457594e-05
2018-09,6.30397200398564e-05
2018-09,7.363992816680144e-05
2018-09,3.860743554201182e-05
2018-09,5.096185868765476e-05
2018-09,7.110202288150867e-05
2018-09,0.00012368966216950422
2018-09,0.0001347820705431161
2018-09,0.0001327927807369304
2018-09,0.00011704523346445717
2018-09,0.00014486698366712186
2018-09,0.00013712400821897712
2018-09,8.818399206758271e-05
2018-09,7.599794009792661e-05
2018-09,9.015046552351866e-05
2018-09,7.673786622909944e-05
2018-09,8.727143652939438e-05
2018-09,0.00034229692574816765
2018-09,0.00014490406449989453
2018-09,0.00010835335479818741
2018-09,6.030013948068367e-05
2018-09,0.00018724166881516158
2018-09,0.00010040849225253592
2018-09,0.00010064609464495585
2018-09,6.712415460745712e-05
2018-09,0.00010189000359422712
2018-09,0.00012886979366979532
2018-09,0.00010923770393370858
2018-09,0.00011118233790554836
2018-09,5.021025712844371e-05
2018-09,6.495948625478092e-05
2018-09,7.126042265123982e-05
2018-09,6.277444789819125e-05
2018-09,7.751188910798583e-05
2018-09,5.529305044405055e-05
2018-09,5.6093501125320324e-05
2018-09,0.00011103431223740117
2018-10,0.00016018111464190018
2018-10,9.909296192075481e-05
2018-10,7.311357676488306e-05
2018-10,0.0001259639076779475
2018-10,0.0001317780152225512
2018-10,0.00011324142279814463
2018-10,0.00015457667334511628
2018-10,5.651212566144867e-05
2018-10,6.579950526048314e-05
2018-10,0.00015660843073640428
2018-10,6.211880515662508e-05
2018-10,7.041695130835875e-05
2018-10,8.467609915419556e-05
2018-10,5.849242295465543e-05
2018-10,0.00013637938881835588
2018-10,0.0001304481117069192
2018-10,0.00016302002116890633
2018-10,0.00011460380954273143
2018-10,0.0001381115415808659
2018-10,0.00012286542968890658
2018-10,0.0001226607993443364
2018-10,8.919063693437172e-05
2018-10,0.0001489776177850206
2018-10,0.00018543503539374828
2018-10,8.099502122074105e-05
2018-10,8.054160100784921e-05
2018-10,6.652599340797176e-05
2018-10,6.474686994950492e-05
2018-10,6.623839772478798e-05
2018-10,9.323330982639876e-05
2018-10,0.00010705754136293677
2018-10,0.00011283946665951297
2018-10,0.0001293865742082909
2018-10,0.0002011867990395908
2018-10,0.00011405736181074213
2018-10,9.614410932754373e-05
2018-10,0.00015138927172991164
2018-10,0.0001128145759405512
2018-10,0.00010894511037957014
2018-10,0.0001741004351307039
2018-10,0.00012558927350296377
2018-10,9.031639538501665e-05
2018-10,6.025974701511696e-05
2018-10,0.0001500896746224236
2018-10,0.00025751574747679996
2018-11,8.221259472752518e-05
2018-11,7.322818002747022e-05
2018-11,9.194732975278705e-05
2018-11,8.436848092229828e-05
2018-11,9.689198240924493e-05
2018-11,0.00013104180700656374
2018-11,0.00015720044379079044
2018-11,7.79264673443255e-05
2018-11,0.00016464499017520846
2018-11,0.0001450237180745713
2018-11,0.00013392556758270175
2018-11,9.482662709575277e-05
2018-11,0.0001492864545927905
2018-11,0.0001997798184577944
2018-11,0.00013013350781765113
2018-11,0.00010452594631760383
2018-11,0.00015042692564868978
2018-11,8.629204538807267e-05
2018-11,9.338487786489826e-05
2018-11,0.00011466083968131159
2018-11,0.00011515075463046105
2018-11,9.207233616744753e-05
2018-11,6.922409394767181e-05
2018-11,7.80816023266286e-05
2018-11,0.00012515593762298035
2018-11,0.00012189050879213359
2018-11,8.5859483532953e-05
2018-11,0.00018382908333789745
2018-11,0.00018124377422431106
2018-11,6.0057232787124915e-05
2018-11,5.755199211690621e-05
2018-11,6.316606570924956e-05
2018-11,0.00010392088182028943
2018-11,0.00011625569837733295
2018-11,0.00011885605359097981
2018-11,7.517398977605137e-05
2018-11,0.00014395216992699704
2018-11,0.00010694181017242781
2018-11,0.00010080140257059677
2018-11,6.141228041155631e-05
2018-11,8.309504495767576e-05
2018-11,8.600791208839552e-05
2018-11,6.534023396892938e-05
2018-11,7.537360164579735e-05
2018-11,5.6886715201864614e-05
2018-12,7.71054674361676e-05
2018-12,6.838497754193564e-05
2018-12,6.28605073878422e-05
2018-12,0.0001037267585754229
2018-12,0.00010193437762745881
2018-12,8.620939576208382e-05
2018-12,6.473823729470734e-05
2018-12,7.977713473549317e-05
2018-12,8.46791715690883e-05
2018-12,7.411475717626552e-05
2018-12,6.280539376892982e-05
2018-12,6.450360573869826e-05
2018-12,0.00010367248175644349
2018-12,0.00010277606111536293
2018-12,0.0001077637953593196
2018-12,9.329070676376687e-05
2018-12,6.930342397555585e-05
2018-12,7.296427340579045e-05
2018-12,7.551237742949259e-05
2018-12,7.383968731560556e-05
2018-12,7.783067698721068e-05
2018-12,6.583575988108431e-05
2018-12,6.155493275889672e-05
2018-12,7.035697761154342e-05
2018-12,6.936881132229403e-05
2018-12,9.966762414779555e-05
2018-12,0.00010644723301306378
2018-12,8.413219584576934e-05
2018-12,6.59704239914609e-05
2018-12,7.360530283990751e-05
2018-12,7.117178265146734e-05
2018-12,8.00668662481797e-05
2018-12,7.432934789174239e-05
2018-12,6.981241296447496e-05
2018-12,8.200470202162155e-05
2018-12,7.89337714725679e-05
2018-12,8.279386120962769e-05
2018-12,8.222214519775492e-05
2018-12,7.184007032461208e-05
2018-12,7.353873403879108e-05
2018-12,6.840116534798217e-05
2018-12,7.639195293982446e-05
2018-12,9.090645826454365e-05
2018-12,7.920255205110592e-05
2018-12,6.810547370933257e-05
2019-01,7.392117775944117e-05
2019-01,7.45834908232076e-05
2019-01,7.698689301462192e-05
2019-01,9.229774453909468e-05
2019-01,9.951640467430489e-05
2019-01,8.756654300049111e-05
2019-01,7.938524919487433e-05
2019-01,7.709400281641235e-05
2019-01,8.169069509231625e-05
2019-01,9.375954706942865e-05
2019-01,0.00010055060043874
2019-01,8.821220552522161e-05
2019-01,8.267263163766937e-05
2019-01,7.993640496860417e-05
